"num","team","total_points","total_notes","total_note_points","auto_notes","auto_points","teleop_notes","teleop_points","amp_notes","speaker_notes","amplified_notes","endgame_points","endgame_park_points","endgame_on_stage_points","endgame_harmony_points","endgame_trap_points","endgame_spotlight_points"
"1807","Redbird Robotics","42","10.1","37.2","1.8","11.1","8.3","28","3","7.1","4.8","2.9","0.35","1.9","0.45","-0.1","0.23"
"133","B.E.R.T.","42","9.5","32.8","2.1","12","7.4","22.4","3.4","6.1","3.7","7.6","0.04","3.2","-0.12","4.3","0.17"
"7407","Wired Boars","42","9.6","33.8","2.2","13.1","7.3","22.7","2.8","6.8","3.6","6.2","-0.12","3.3","0","2.9","0.19"
"1676","The Pascack PI-oneers","42","9.3","33.7","1.9","11.1","7.4","24","2.6","6.7","3.9","6.9","-0.13","3.6","0.03","3.3","0.11"
"581","Blazing Bulldogs","42","9.5","34.8","2.6","14.7","6.9","21.8","3","6.5","3.7","5.5","0.17","2.7","-0.02","2.6","0.08"
"2590","Nemesis","42","9.6","34.9","2.5","14.7","7.1","22.5","2.8","6.8","3.7","4.8","0.16","2.3","-0.1","2.3","0.11"
"2521","SERT","41.9","10.5","36.6","2.4","14","8.1","24.8","3","7.4","3.9","3.1","0.33","2.2","0.24","0.3","0"
"2046","Bear Metal","41.8","10.4","35.8","1.9","11","8.5","26.6","3.3","7.1","4.3","4.3","0.03","2.3","-0.15","2","0.11"
"7457","suPURDUEper Robotics","41.8","9.3","33.6","2.3","14","6.9","22","3.4","5.9","3.8","5.8","-0.06","2.6","-0.12","3.4","0.02"
"8013","Boston Lions","41.7","9.4","32.9","1.8","11.2","7.6","23.9","3.4","6","4.1","6.6","0.07","2.9","-0.14","3.8","-0.01"
"131","CHAOS","41.6","9.1","32.3","1.4","9.4","7.7","25.3","2.9","6.2","4.3","7","-0.03","3.2","-0.23","4","0.07"
"6672","Fusion Corps","41.5","10.4","37.1","1.9","11.3","8.5","27.8","3.6","6.8","4.8","2.4","0.36","1.9","0.23","0","-0.07"
"1701","RoboCubs","41.4","10.6","37","2.5","14.5","8.2","24.6","3","7.7","3.7","2.4","0.42","1.7","0.24","0","0.03"
"6459","AG Robotik","41.4","11.9","38.4","2","11.5","9.9","28.4","2.5","9.3","3.7","1.5","0.79","0.7","-0.02","0","0.06"
"5895","Peddie Robotics","41.4","10.6","36.8","2.6","14.5","8","23.9","2.9","7.7","3.6","3","0.04","2.4","0.29","0.2","0.2"
"5951","Makers Assemble","41.1","10.1","35.5","2.2","13.2","7.8","24.3","3.5","6.6","4.1","3.6","0.23","2.1","0.07","1.1","0.14"
