4,NDGF,144,876,877,2177,2181,2500,2501,2502,2512,2531,2538,2654,2855,2883,3007,3026,3058,3130,3134,3275,3277,3278,3313,3755,3926,3940,4181,4230,4238,4360,4539,4663,4674,4778,5172,5437,5658,5913,5929,6146,6160,6381,6453,6574,6628,7028,7048,7235,7578,8188,8255,8422,8516,8586,8887,9474,9576,10025,10044,10087,,,,,
5,OKTU,31,323,846,935,1209,1339,1369,1561,1730,1764,1806,1819,2165,2333,2341,2357,2359,2373,2395,2410,2773,3160,3163,3179,3247,3465,3507,3931,4005,4523,5013,5454,5550,5889,6026,6809,7744,8711,9007,9410,9462,9472,9551,9626,9631,9667,9701,10157,,,,,,,,,,,,,,,,,
4,CASF,199,253,498,840,841,852,1072,1458,2102,2643,2854,3045,3647,4146,4159,4186,4253,4669,4698,4904,4973,4990,5026,5507,5700,5924,5940,5985,6418,6662,7130,7245,7444,7667,8016,8033,8151,8169,8793,8840,8852,9038,9084,9111,9114,9143,10148,10202,,,,,,,,,,,,,,,,,
2,CAP2,4,192,294,399,691,701,841,1266,1572,1661,2102,2122,2288,2485,2543,2839,3128,3255,3647,3859,4276,4322,4414,4698,4711,5012,5104,5136,5285,5924,6060,6353,6487,6764,6885,6934,6996,7607,7777,8006,8891,9084,9520,9635,10001,10014,10018,10185,,,,,,,,,,,,,,,,,
2,TUIS2,1884,3390,3835,4972,5553,5993,6014,6038,6064,6232,6402,6429,6431,6948,7035,7201,7444,7570,7672,7682,7683,7758,8056,8079,8084,8127,8151,8182,8220,8795,8796,8798,8863,9020,9024,9029,9043,9093,9155,9159,9174,9220,9247,9281,9441,9447,9451,9467,9468,9473,9479,9546,9591,9694,10015,10021,10063,10068,10081,10110,10126,10167,10180,10197,10200
4,FLTA,21,86,108,180,386,694,744,1056,1523,2383,2556,2797,3173,4065,4091,4118,4458,4576,5145,5722,5816,6184,6317,6473,6722,7500,7561,8324,8624,8775,8778,8788,8791,8841,9300,9313,9404,9493,9711,9764,9787,10040,10071,10119,10137,10162,10171,10175,,,,,,,,,,,,,,,,,
6,NYRO,20,191,229,340,378,424,527,533,578,639,743,1126,1405,1450,1468,1493,1507,1511,1518,1559,1585,1591,1787,2053,2228,2340,2626,3003,3015,3044,3117,3173,3181,3260,3533,3550,3799,3838,3951,3985,4093,4930,4991,5528,5590,5740,6024,6300,6868,7903,8393,9076,10032,10150,,,,,,,,,,,
6,ILPE,111,648,1329,1625,1716,1736,1756,2022,2040,2077,2169,2194,2338,2358,2481,2654,3352,3397,3692,3695,4096,4143,4187,4213,4314,4624,5041,5125,5148,5442,5541,5822,5934,6237,6317,6420,6651,7237,7417,7472,7848,8122,8822,8824,9061,9082,10072,10203,,,,,,,,,,,,,,,,,
1,KSSH,167,935,937,1108,1710,1769,1775,1802,1806,1810,1825,1847,1982,1994,1997,2345,2410,2457,2972,3172,3928,4329,4522,5119,5126,5189,5268,5801,5889,5935,5968,6805,7064,8112,8719,8825,9316,9445,9495,9551,10124,10161,,,,,,,,,,,,,,,,,,,,,,,
3,MSLA,364,456,590,1466,1912,2183,2190,2221,2987,3039,3468,3616,3753,3959,4087,4107,4179,4336,4400,5005,5276,5526,5965,6068,7094,7428,8044,8066,8808,9153,9309,9435,9476,9503,9712,9717,9718,9734,10085,10091,10182,10184,,,,,,,,,,,,,,,,,,,,,,,
3,MXHE,3158,3478,3480,3933,4010,4355,4401,4403,4635,4731,4735,4782,5312,5705,5887,5959,6017,6106,6170,6199,6200,6483,6606,6676,6694,6702,6896,7102,7161,7421,7546,8291,9060,9134,9213,9280,9282,9301,9499,9593,10062,10065,,,,,,,,,,,,,,,,,,,,,,,
2,AZSC,60,498,698,1011,1165,2240,2375,2478,2486,2647,2662,2840,3019,3179,3187,3648,3794,3853,4146,4565,5026,5059,5429,5665,6352,6413,6833,7419,7425,7447,7687,7703,7755,8044,8087,8500,9059,9432,9704,9777,10008,10210,,,,,,,,,,,,,,,,,,,,,,,
5,CAEG,604,696,701,751,1662,1678,2073,2204,2288,2551,2813,3189,3257,3482,3577,3598,3859,3880,4135,4481,4643,4698,4904,5026,5274,5419,5458,5480,6083,6390,6884,6947,7137,7157,9125,9426,9432,9539,10007,10028,10029,10185,,,,,,,,,,,,,,,,,,,,,,,
3,WIMI,93,537,706,930,1091,1259,1306,1675,1714,1716,1732,1792,2062,2077,2194,2202,2506,2667,2826,2830,3197,3381,3418,3596,3692,4531,4645,4655,4786,4787,5096,5148,5586,6223,6318,6381,6421,6574,6643,6823,7103,7417,7619,7864,7900,7915,8096,8531,8700,8701,8802,8803,8847,9425,9535,9578,9760,10033,10118,10192,,,,,
3,CALA,4,294,589,597,599,687,696,702,867,968,980,1138,1148,1159,1160,1197,1452,1515,1661,1726,1759,1836,2404,2429,2465,2584,2637,2659,2710,3328,3408,3473,3759,3863,3952,3993,4019,4123,4141,4201,4501,4964,4999,5089,5124,5285,5500,5669,5851,6000,6658,6904,7042,7230,7415,8006,8020,8600,9172,9408,9471,9505,9696,9772,
6,AUSW,3132,3881,4253,4537,4613,4729,4739,4774,4788,4817,5331,5449,5515,5516,5564,5584,5648,5876,5985,5988,6191,6353,6432,6434,6476,6487,6508,6510,6706,6907,6940,6941,6996,7128,7433,7522,7561,7583,7738,8011,8015,8214,8613,8814,8844,9144,9146,9147,9189,9411,9421,9433,9574,9587,9597,9599,9616,9635,9715,10001,10049,10106,10139,10194,
