Number,Name,Country,State,City,District,Closest/Event1,Event2,Event3,Event4,W.E.C.,W.E.2,W.E.3,W.E.4,W.E.5,W.E.6,Rand1,Rand2,Rand3,R@E2,R@E4,SC12,SC13,SC23
181,Birds Of Prey,USA,Connecticut,Hartford,NE,CTHAR,MABRI,NHSAL,*,2,3,5,,,,0.4977397958,0.8901537092,,2,2,-1,-3,-2
188,Blizzard,Canada,Ontario,Toronto,ONT,ONTOR,ONSCA,*,,2,4,,,,,0.1843463428,,,7,,-2,,
190,Gompei and the H.E.R.D.,USA,Massachusetts,Worcester,NE,MAWOR,MASPR,SCAND,*,4,3,1,,,,0.300741731,0.5077366901,,3,7,1,3,2
191,X-CATS,USA,New York,Rochester,Regional,NYRO,OHCL,*,,6,3,,,,,0.9812248229,,,0,,3,,
192,GRT,USA,California,Palo Alto,Regional,CASJ,CAAT,CAP2,*,3,5,2,,,,0.4490144711,0.1457861893,,0,0,-2,1,3
193,MORT Beta,USA,New Jersey,Flanders,FMA,NJFLA,NJWAS,NJALL,*,3,1,4,,,,0.5546844158,0.06282513209,,4,4,2,-1,-3
195,CyberKnights,USA,Connecticut,Southington,NE,CTWAT,MASPR,RIKIN,*,1,3,5,,,,0.5529606413,0.4459156108,,3,0,-2,-4,-2
199,Deep Blue,USA,California,Belmont,Regional,CASF,CABE,*,,4,6,,,,,0.1089624745,,,0,,-2,,
201,The FEDS,USA,Michigan,Rochester,FIM,MITR2,MIALP,*,,3,5,,,,,0.8552146652,,,1,,-2,,
203,SOUPERBOTS,USA,New Jersey,Sicklerville,FMA,NJTAB,NJALL,PAPHI,*,1,4,3,,,,0.2710158075,0.2453908851,,4,0,-3,-2,1
204,Eastern Robotic Vikings,USA,New Jersey,Voorhees,FMA,NJTAB,PABEN,PAHOR,*,1,2,4,,,,0.6852453318,0.8647224885,,0,4,-1,-3,-2
216,More RoboDawgs,USA,Michigan,Grandville,FIM,MIALL,MIMTP,ONHAM,*,3,4,5,,,,0.6589658811,0.02862980493,,0,6,-1,-2,-1
217,ThunderChickens,USA,Michigan,Sterling Heights,FIM,MISTE,MIKE1,MIBCT,*,5,1,3,,,,0.9028217674,0.001333623094,,0,0,4,2,-2
219,Team Impact,USA,New Jersey,Washington,FMA,NJWAS,NJFLA,PAHOR,*,1,3,4,,,,0.1151586838,0.7050214665,,0,4,-2,-3,-1
222,Tigertrons,USA,Pennsylvania,Tunkhannock,FMA,NJWAS,NJALL,PABEN,*,1,4,2,,,,0.6333842915,0.1978443554,,4,0,-3,-1,2
223,Xtreme Heat,USA,New Jersey,Wanaque,FMA,NJFLA,NJSKI,MDOWI,*,3,5,1,,,,0.7099604895,0.9680832679,,0,3,-2,2,4
226,Hammerheads,USA,Michigan,Troy,FIM,MITR2,MIMTP,INCOL,*,3,4,2,,,,0.6085893184,0.9512744968,,0,3,-1,1,2
228,GUS,USA,Connecticut,Meriden,NE,CTWAT,CTHAR,MAREA,*,1,2,4,,,,0.877908056,0.1716101584,,2,2,-1,-3,-2
229,Division By Zero,USA,New York,Potsdam,Regional,NYRO,NYAL,*,,6,4,,,,,0.3247455575,,,0,,2,,
230,Gaelhawks,USA,Connecticut,Shelton,NE,CTWAT,RIKIN,MASPR,*,1,5,3,,,,0.07780338053,0.4180809707,,0,3,-4,-2,2
231,High Voltage,USA,Texas,Houston,FIT,TXHOU,TXCLE,*,,4,5,,,,,0.1074423357,,,0,,-1,,
233,The Pink Team,USA,Florida,Rockledge,Regional,FLOR,ALHU,*,*,6,4,,,,,0.798767157,0.09603169887,,0,,2,6,4
234,Cyber Blue,USA,Indiana,Indianapolis,FIN,INPLA,INWAS,INCOL,*,1,4,2,,,,0.249929089,0.9806238911,,1,3,-3,-1,2
